" Frame3DD version: 20140514               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2014, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example H: a pedestrian ramp (units: kip  in)               "
" Wed May 14 16:02:05 2014
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions 
 First Row , 1 , 17 , 167 , 759  
 Last Row , 1 , 164 , 756 , 906  

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
    38,    36,  3.57453e+02, -4.26554e-02, -2.92725e+00,  1.10105e-02,  5.21164e+01,  3.11821e+02,
    38,    37, -3.57135e+02,  4.26554e-02,  2.92725e+00, -1.10105e-02,  6.58466e+01, -3.13417e+02,
    39,    37,  3.06547e+02,  1.27359e-01,  1.35824e+00, -2.55432e-03, -5.64261e+01, -1.49569e+02,
    39,    40, -3.05911e+02, -1.27359e-01, -1.35824e+00,  2.55432e-03, -5.27559e+01,  1.60080e+02,
    40,    40,  2.55423e+02, -2.08787e-01, -3.63670e+00, -7.39998e-03,  6.95174e+01,  2.96337e+02,
    40,    41, -2.55105e+02,  2.08787e-01,  3.63670e+00,  7.39998e-03,  7.65058e+01, -3.04711e+02,
    41,    41,  2.04669e+02, -5.36585e-01,  2.03701e+00, -2.76213e-02, -7.04968e+01, -1.50604e+02,
    41,    44, -2.04033e+02,  5.36585e-01, -2.03701e+00,  2.76213e-02, -9.29663e+01,  1.07999e+02,
    42,    44,  1.53698e+02,  2.32348e+00, -3.36703e+00, -2.01975e-02,  1.05641e+02,  3.42846e+02,
    42,    45, -1.53380e+02, -2.32348e+00,  3.36703e+00,  2.01975e-02,  2.97663e+01, -2.49335e+02,
    43,    45,  1.02983e+02,  4.85848e-01,  8.86441e-02,  5.03720e-02, -8.58297e+00, -1.95709e+02,
    43,    48, -1.02347e+02, -4.85848e-01, -8.86441e-02, -5.03720e-02,  2.30398e+00,  2.34300e+02,
    44,    48,  5.12993e+01, -6.44287e+00, -1.60303e+00,  1.58150e-01,  6.91392e+01,  2.14475e+02,
    44,    49, -5.09812e+01,  6.44287e+00,  5.60303e+00, -1.58150e-01,  7.52744e+01, -4.72592e+02,
    45,     7, -5.14758e+00, -7.57108e-03,  5.06896e+00,  4.77122e-01, -1.05358e+02, -1.51002e-01,
    45,     8,  5.14758e+00,  7.57108e-03,  7.61364e+00, -4.77122e-01,  2.58186e+02, -7.57304e-01,
    46,    11, -1.95310e+00, -9.72639e-03,  6.96767e+00, -1.09890e-01, -2.22518e+02, -3.08742e-01,
    46,    12,  1.95310e+00,  9.72639e-03,  5.71493e+00,  1.09890e-01,  1.47500e+02, -8.58066e-01,
    47,    15, -6.26436e-01, -1.16941e-02,  8.67000e+00,  3.28990e-02, -3.24664e+02, -3.11603e-01,
    47,    16,  6.26436e-01,  1.16941e-02,  4.01259e+00, -3.28990e-02,  4.52890e+01, -1.09161e+00,
    48,    19, -7.63633e-01, -1.05868e-02,  9.86590e+00, -7.54508e-02, -3.94923e+02, -9.18486e-02,
    48,    20,  7.63633e-01,  1.05868e-02,  2.81669e+00,  7.54508e-02, -2.79242e+01, -1.17867e+00,
    49,    23,  6.88832e+00, -1.95144e-02,  1.07651e+01,  2.69893e-01, -4.54603e+02, -1.12717e-01,
    49,    24, -6.88832e+00,  1.95144e-02,  1.91750e+00, -2.69893e-01, -7.73150e+01, -2.22607e+00,
    50,    27, -6.31568e+00,  3.59314e-02,  1.00336e+01, -1.24819e+00, -3.91593e+02,  1.38576e+00,
    50,    28,  6.31568e+00, -3.59314e-02,  2.64896e+00,  1.24819e+00, -5.04701e+01,  2.92124e+00,
    51,     9,  5.67635e-01, -2.37173e-02,  8.17617e+00, -1.38082e-02, -3.06742e+02, -1.30650e+00,
    51,    10, -5.67635e-01,  2.37173e-02,  4.50642e+00,  1.38082e-02,  8.65730e+01, -1.53919e+00,
    52,    13, -9.55389e-01, -2.36393e-02,  6.86772e+00, -9.32590e-03, -2.13743e+02, -1.04655e+00,
    52,    14,  9.55389e-01,  2.36393e-02,  5.81488e+00,  9.32590e-03,  1.50524e+02, -1.79164e+00,
    53,    17, -9.24756e-01, -1.73214e-02,  6.02365e+00, -2.15173e-03, -1.69197e+02, -6.15026e-01,
    53,    18,  9.24756e-01,  1.73214e-02,  6.65894e+00,  2.15173e-03,  2.07251e+02, -1.46531e+00,
    54,    21,  1.37504e+00, -1.25502e-02,  5.49306e+00,  1.97175e-03, -1.21364e+02, -1.86023e-01,
    54,    22, -1.37504e+00,  1.25502e-02,  7.18954e+00, -1.97175e-03,  2.23263e+02, -1.31738e+00,
    55,    25,  1.08612e+00, -2.31664e-02,  9.12462e+00,  1.95681e-03, -4.13238e+02, -1.36087e+00,
    55,    26, -1.08612e+00,  2.31664e-02,  3.55798e+00, -1.95681e-03,  7.93332e+01, -1.41717e+00,
    56,     5,  1.50947e+00, -1.30099e-03,  1.90879e+01,  1.51834e-01, -1.15097e+03, -3.70612e-01,
    56,    29, -1.39571e+00,  1.30099e-03,  1.90154e+01, -1.51834e-01,  1.13789e+03, -1.00900e-01,
    57,    29,  1.88703e+00,      0.0,   1.92031e+01, -2.14563e-02, -1.16572e+03,  2.02456e-01,
    57,    30, -1.77326e+00,      0.0,   1.91113e+01,  2.14563e-02,  1.14905e+03, -1.98911e-01,
    58,    30,  1.02251e+00,  2.42752e-03,  1.93795e+01, -1.30591e-01, -1.18552e+03,  4.40812e-01,
    58,     8, -9.08744e-01, -2.42752e-03,  1.87238e+01,  1.30591e-01,  1.06731e+03,  4.36589e-01,
    59,     8, -6.62356e-01,  2.84648e-04,  1.87783e+01,  1.89094e-01, -1.07700e+03, -4.21162e-02,
    59,    31,  7.76122e-01, -2.84648e-04,  1.93250e+01, -1.89094e-01,  1.17557e+03,  1.44412e-01,
    60,    31, -2.25363e+00, -2.07484e-03,  1.91619e+01, -1.02121e-02, -1.15851e+03, -3.47164e-01,
    60,    32,  2.36739e+00,  2.07484e-03,  1.91524e+01,  1.02121e-02,  1.15682e+03, -4.02435e-01,
    61,    32, -4.20485e+00, -1.02236e-03,  1.94067e+01, -1.82632e-01, -1.18453e+03,  1.33957e-02,
    61,     9,  4.31861e+00,  1.02236e-03,  1.86966e+01,  1.82632e-01,  1.05647e+03, -3.86719e-01,
    62,     9, -1.55838e+00, -2.96908e-03,  1.87308e+01,  1.73301e-01, -1.06358e+03, -6.14776e-01,
    62,    33,  1.67214e+00,  2.96908e-03,  1.93725e+01, -1.73301e-01,  1.17932e+03, -4.57207e-01,
    63,    33, -2.74816e+00, -4.65315e-03,  1.91741e+01,  7.46600e-04, -1.16057e+03, -9.00084e-01,
    63,    34,  2.86192e+00,  4.65315e-03,  1.91403e+01, -7.46600e-04,  1.15447e+03, -7.84260e-01,
    64,    34, -3.91129e+00, -2.72627e-04,  1.93626e+01, -1.77753e-01, -1.17878e+03, -5.65205e-02,
    64,    12,  4.02506e+00,  2.72627e-04,  1.87407e+01,  1.77753e-01,  1.06657e+03, -4.42008e-02,
    65,    12,  6.73981e-01,  2.23291e-04,  1.87834e+01,  1.64845e-01, -1.07446e+03,  5.99773e-02,
    65,    35, -5.60215e-01, -2.23291e-04,  1.93199e+01, -1.64845e-01,  1.17117e+03,  2.11235e-02,
    66,    35, -7.77742e-01, -3.91919e-03,  1.91906e+01, -2.04301e-04, -1.16306e+03, -6.83814e-01,
    66,    36,  8.91508e-01,  3.91919e-03,  1.91238e+01,  2.04301e-04,  1.15097e+03, -7.36564e-01,
    67,    36, -2.18295e+00, -4.30650e-03,  1.93395e+01, -1.69931e-01, -1.17656e+03, -5.40244e-01,
    67,    13,  2.29671e+00,  4.30650e-03,  1.87638e+01,  1.69931e-01,  1.07269e+03, -1.01525e+00,
    68,    13,  1.41187e+00, -4.75485e-03,  1.88052e+01,  1.68890e-01, -1.08007e+03, -1.05959e+00,
    68,    37, -1.29810e+00,  4.75485e-03,  1.92981e+01, -1.68890e-01,  1.16884e+03, -6.53540e-01,
    69,    37, -8.45468e-01, -5.13991e-03,  1.91711e+01,  1.98267e-03, -1.15942e+03, -9.43709e-01,
    69,    38,  9.59233e-01,  5.13991e-03,  1.91432e+01, -1.98267e-03,  1.15438e+03, -9.18919e-01,
    70,    38, -3.32604e+00,  4.85248e-04,  1.93449e+01, -1.75388e-01, -1.17505e+03,  7.41370e-02,
    70,    16,  3.43981e+00, -4.85248e-04,  1.87584e+01,  1.75388e-01,  1.06917e+03,  9.56633e-02,
    71,    16,  2.24518e+00,  1.26419e-03,  1.87890e+01,  1.57826e-01, -1.07504e+03,  2.72343e-01,
    71,    39, -2.13141e+00, -1.26419e-03,  1.93143e+01, -1.57826e-01,  1.16962e+03,  1.88403e-01,
    72,    39, -5.90813e-01, -5.24196e-03,  1.91714e+01,  6.74228e-03, -1.15956e+03, -9.65871e-01,
    72,    40,  7.04579e-01,  5.24196e-03,  1.91430e+01, -6.74228e-03,  1.15441e+03, -9.34208e-01,
    73,    40, -3.55841e+00, -5.52854e-03,  1.93189e+01, -1.68809e-01, -1.17115e+03, -7.38065e-01,
    73,    17,  3.67218e+00,  5.52854e-03,  1.87844e+01,  1.68809e-01,  1.07460e+03, -1.25940e+00,
    74,    17,  2.99624e+00, -4.58542e-03,  1.88126e+01,  1.56572e-01, -1.07993e+03, -1.08006e+00,
    74,    41, -2.88247e+00,  4.58542e-03,  1.92907e+01, -1.56572e-01,  1.16593e+03, -5.69630e-01,
    75,    41, -6.49992e-01, -6.87086e-03,  1.91734e+01,  1.71238e-02, -1.15993e+03, -1.23478e+00,
    75,    42,  7.63757e-01,  6.87086e-03,  1.91410e+01, -1.71238e-02,  1.15407e+03, -1.25499e+00,
    76,    42, -4.17955e+00,  2.50795e-03,  1.93285e+01, -1.77805e-01, -1.17168e+03,  4.93472e-01,
    76,    20,  4.29331e+00, -2.50795e-03,  1.87748e+01,  1.77805e-01,  1.07163e+03,  3.97710e-01,
    77,    20,  2.73023e+00,  4.74827e-03,  1.87985e+01,  1.15976e-01, -1.07614e+03,  8.59094e-01,
    77,    43, -2.61647e+00, -4.74827e-03,  1.93048e+01, -1.15976e-01,  1.16723e+03,  8.65462e-01,
    78,    43, -9.23561e-01, -6.70783e-03,  1.91793e+01,  4.68138e-03, -1.16032e+03, -1.34684e+00,
    78,    44,  1.03733e+00,  6.70783e-03,  1.91351e+01, -4.68138e-03,  1.15230e+03, -1.08330e+00,
    79,    44, -4.30703e+00, -3.91568e-03,  1.92676e+01, -1.23409e-01, -1.16499e+03, -3.99961e-01,
    79,    21,  4.42080e+00,  3.91568e-03,  1.88357e+01,  1.23409e-01,  1.08685e+03, -1.01566e+00,
    80,    21, -1.89007e-01, -7.69902e-03,  1.88272e+01,  1.96512e-01, -1.08702e+03, -1.89670e+00,
    80,    45,  3.02772e-01,  7.69902e-03,  1.92761e+01, -1.96512e-01,  1.16797e+03, -8.78520e-01,
    81,    45, -1.61347e+00, -1.15173e-02,  1.91058e+01, -4.73179e-02, -1.14682e+03, -1.62142e+00,
    81,    46,  1.72724e+00,  1.15173e-02,  1.92085e+01,  4.73179e-02,  1.16544e+03, -2.54576e+00,
    82,    46, -3.08417e+00,  1.44569e-02,  1.92998e+01, -1.51810e-01, -1.16421e+03,  2.64904e+00,
    82,    24,  3.19794e+00, -1.44569e-02,  1.88035e+01,  1.51810e-01,  1.07454e+03,  2.52786e+00,
    83,    24,  1.00464e+01,  8.62932e-03,  1.88074e+01,  3.10014e-01, -1.07639e+03,  1.29778e+00,
    83,    47, -9.93267e+00, -8.62932e-03,  1.92959e+01, -3.10014e-01,  1.16378e+03,  1.88397e+00,
    84,    47,  9.65948e+00, -7.11953e-03,  1.92068e+01, -4.34197e-02, -1.16529e+03, -1.38021e+00,
    84,    48, -9.54571e+00,  7.11953e-03,  1.91075e+01,  4.34197e-02,  1.14729e+03, -1.23427e+00,
    85,    48,  1.00231e+01, -4.63677e-03,  1.97046e+01, -2.67470e-01, -1.21871e+03, -3.74317e-01,
    85,    25, -9.90933e+00,  4.63677e-03,  1.83987e+01,  2.67470e-01,  9.83972e+02, -1.28931e+00,
    86,    25,  1.33536e+01, -6.00302e-04,  1.83956e+01,  1.04730e-01, -9.84125e+02,  2.54443e-01,
    86,    49, -1.32398e+01,  6.00302e-04,  1.97077e+01, -1.04730e-01,  1.21972e+03, -3.55434e-01,
    87,    49,  9.78250e+00,  8.56845e-03,  1.90888e+01,  8.84369e-02, -1.14448e+03,  7.72629e-01,
    87,    50, -9.66873e+00, -8.56845e-03,  1.92255e+01, -8.84369e-02,  1.16926e+03,  2.42111e+00,
    88,    50,  1.13357e+01, -2.42347e-02,  1.92974e+01, -1.93433e-01, -1.16216e+03, -4.44238e+00,
    88,    28, -1.12219e+01,  2.42347e-02,  1.88059e+01,  1.93433e-01,  1.07431e+03, -4.44871e+00,
    89,    51,  2.38568e-01,  1.24819e+01, -1.21760e+00, -2.34821e-02,  1.84338e+01,  1.88962e+02,
    89,    57,  2.38568e-01, -1.24819e+01,  1.21760e+00,  2.34821e-02,  5.46224e+01,  5.59952e+02,
    90,    57,  4.77137e-01,  5.65731e+00, -1.20118e+00,  1.09535e-02,  6.32222e+01,  3.98037e+02,
    90,    61,  4.77137e-01, -5.65731e+00,  1.20118e+00, -1.09535e-02,  8.09191e+01,  2.80840e+02,
    91,    61,  4.77137e-01,  3.70733e+00, -1.82579e+00,  1.23059e-03,  1.04386e+02,  2.07580e+02,
    91,    65,  4.77137e-01, -3.70733e+00,  1.82579e+00, -1.23059e-03,  1.14709e+02,  2.37299e+02,
    92,    65,  4.77137e-01,  4.00470e+00, -2.25333e+00, -1.14462e-03,  1.30771e+02,  2.48471e+02,
    92,    69,  4.77137e-01, -4.00470e+00,  2.25333e+00,  1.14462e-03,  1.39628e+02,  2.32093e+02,
    93,    69,  4.77137e-01,  4.60742e+00, -2.45111e+00,  3.08113e-02,  1.47058e+02,  2.54737e+02,
    93,    73,  4.77137e-01, -4.60742e+00,  2.45111e+00, -3.08113e-02,  1.47075e+02,  2.98153e+02,
    94,    73,  4.77137e-01,  1.64640e+00, -3.52024e+00, -6.61314e-02,  1.87242e+02,  1.86910e+02,
    94,    77,  4.77137e-01, -1.64640e+00,  3.52024e+00,  6.61314e-02,  2.35187e+02,  1.06588e+01,
    95,    52,  2.22531e+02,  5.33832e+00, -1.05323e+01, -2.85520e-02,  1.58855e+02,  7.20958e+01,
    95,    58, -2.22054e+02, -5.33832e+00,  1.05323e+01,  2.85520e-02,  4.73066e+02,  2.48054e+02,
    96,    58,  1.83861e+02,  4.11078e+00, -7.76198e+00,  6.92997e-03,  4.51838e+02,  2.44284e+02,
    96,    62, -1.82907e+02, -4.11078e+00,  7.76198e+00, -6.92997e-03,  4.79754e+02,  2.49104e+02,
    97,    62,  1.45778e+02,  4.17576e+00, -8.51945e+00,  1.93839e-03,  5.06719e+02,  2.50092e+02,
    97,    66, -1.44823e+02, -4.17576e+00,  8.51945e+00, -1.93839e-03,  5.15664e+02,  2.51010e+02,
    98,    66,  1.08745e+02,  4.27259e+00, -9.00763e+00,  5.30284e-03,  5.32646e+02,  2.54556e+02,
    98,    70, -1.07791e+02, -4.27259e+00,  9.00763e+00, -5.30284e-03,  5.48259e+02,  2.58159e+02,
    99,    70,  7.23668e+01,  3.92848e+00, -8.62176e+00,  4.19809e-02,  5.37747e+02,  2.51131e+02,
    99,    74, -7.14125e+01, -3.92848e+00,  8.62176e+00, -4.19809e-02,  4.96941e+02,  2.20416e+02,
   100,    74,  3.68018e+01,  6.51440e+00, -1.32530e+01, -1.32348e-01,  6.62930e+02,  2.97180e+02,
   100,    78, -3.58475e+01, -6.51440e+00,  1.32530e+01,  1.32348e-01,  9.27384e+02,  4.84390e+02,
   101,    55,  1.97183e+02,  2.66540e+00,  4.69561e+00,  1.22974e-02, -1.78466e+02,  1.04912e+02,
   101,    59, -1.96229e+02, -2.66540e+00, -4.69561e+00, -1.22974e-02, -3.85077e+02,  2.15188e+02,
   102,    59,  1.57527e+02,  4.42708e+00,  7.94916e+00,  1.38561e-02, -4.91442e+02,  2.77429e+02,
   102,    63, -1.56572e+02, -4.42708e+00, -7.94916e+00, -1.38561e-02, -4.61731e+02,  2.53819e+02,
   103,    63,  1.18400e+02,  4.23646e+00,  8.05979e+00,  4.83232e-03, -4.79938e+02,  2.50729e+02,
   103,    67, -1.17445e+02, -4.23646e+00, -8.05979e+00, -4.83232e-03, -4.87187e+02,  2.57790e+02,
   104,    67,  7.97179e+01,  3.93126e+00,  7.99967e+00, -1.83581e-03, -4.83627e+02,  2.51309e+02,
   104,    71, -7.87636e+01, -3.93126e+00, -7.99967e+00,  1.83581e-03, -4.76267e+02,  2.20657e+02,
   105,    71,  4.10977e+01,  6.54396e+00,  1.05362e+01, -2.76180e-03, -5.06496e+02,  2.97510e+02,
   105,    75, -4.01435e+01, -6.54396e+00, -1.05362e+01,  2.76180e-03, -7.57016e+02,  4.87613e+02,
   106,    56,  9.60318e+01,  2.67183e+00,  6.46229e-01,  3.19068e-02, -2.55927e+01,  1.07083e+02,
   106,    60, -9.50775e+01, -2.67183e+00, -6.46229e-01, -3.19068e-02, -5.19909e+01,  2.13723e+02,
   107,    60,  7.73920e+01,  4.37371e+00,  7.33042e-01,  1.80366e-02, -3.90125e+01,  2.74172e+02,
   107,    64, -7.64377e+01, -4.37371e+00, -7.33042e-01, -1.80366e-02, -4.86048e+01,  2.50738e+02,
   108,    64,  5.78898e+01,  4.13751e+00,  1.31729e+00,  6.47955e-03, -8.41796e+01,  2.44367e+02,
   108,    68, -5.69355e+01, -4.13751e+00, -1.31729e+00, -6.47955e-03, -7.38705e+01,  2.52226e+02,
   109,    68,  3.78668e+01,  3.81911e+00,  1.88187e+00,  2.07911e-03, -9.26308e+01,  2.43796e+02,
   109,    72, -3.69126e+01, -3.81911e+00, -1.88187e+00, -2.07911e-03, -1.33149e+02,  2.14598e+02,
   110,    72,  1.77389e+01,  6.33143e+00,  8.01654e-01, -2.30500e-03, -2.87296e+01,  2.87869e+02,
   110,    76, -1.67846e+01, -6.33143e+00, -8.01654e-01,  2.30500e-03, -6.71155e+01,  4.71839e+02,
   111,    53,  3.12201e+02,  8.13683e+00, -6.97401e-01, -7.05388e-02,  2.65971e+01,  5.00238e+01,
   111,    80, -3.11883e+02, -8.13683e+00,  6.97401e-01,  7.05388e-02,  1.53350e+00,  2.75457e+02,
   112,    80,  2.60919e+02,  3.94360e+00,  8.54780e-02,  3.37836e-04, -5.39895e+00,  2.25538e+02,
   112,    81, -2.60601e+02, -3.94360e+00, -8.54780e-02, -3.37836e-04,  2.15673e+00, -6.80029e+01,
   113,    81,  2.60601e+02,  3.94360e+00,  8.54780e-02,  3.37836e-04, -2.15673e+00,  6.80029e+01,
   113,    84, -2.59965e+02, -3.94360e+00, -8.54780e-02, -3.37836e-04, -4.38415e+00,  2.47860e+02,
   114,    84,  2.08829e+02,  4.40126e+00, -3.65717e-02,  3.72721e-03,  9.46375e-01,  2.65130e+02,
   114,    85, -2.08511e+02, -4.40126e+00,  3.65717e-02, -3.72721e-03,  6.75797e-01, -8.94638e+01,
   115,    85,  2.08511e+02,  4.40126e+00, -3.65717e-02,  3.72721e-03, -6.75797e-01,  8.94638e+01,
   115,    88, -2.07875e+02, -4.40126e+00,  3.65717e-02, -3.72721e-03,  3.86849e+00,  2.63149e+02,
   116,    88,  1.56674e+02,  4.17541e+00,  8.71298e-02,  1.12389e-02, -5.92758e+00,  2.60483e+02,
   116,    89, -1.56356e+02, -4.17541e+00, -8.71298e-02, -1.12389e-02,  2.48315e+00, -9.37410e+01,
   117,    89,  1.56356e+02,  4.17541e+00,  8.71298e-02,  1.12389e-02, -2.48315e+00,  9.37410e+01,
   117,    92, -1.55720e+02, -4.17541e+00, -8.71298e-02, -1.12389e-02, -4.44770e+00,  2.40935e+02,
   118,    92,  1.04433e+02,  5.02286e+00,  1.34257e-02,  3.09219e-03,  1.51701e+00,  2.93538e+02,
   118,    93, -1.04115e+02, -5.02286e+00, -1.34257e-02, -3.09219e-03, -2.01803e+00, -9.25024e+01,
   119,    93,  1.04115e+02,  5.02286e+00,  1.34257e-02,  3.09218e-03,  2.01803e+00,  9.25024e+01,
   119,    96, -1.03479e+02, -5.02286e+00, -1.34257e-02, -3.09218e-03, -2.97477e+00,  3.10097e+02,
   120,    96,  5.22168e+01,  5.97784e+00, -9.53734e-03, -1.19543e-01,  1.17914e+01,  2.24254e+02,
   120,    97, -5.18987e+01, -5.97784e+00,  9.53734e-03,  1.19543e-01, -1.13505e+01,  1.47022e+01,
   121,    97,  5.18987e+01,  5.97784e+00, -9.53734e-03, -1.19543e-01,  1.13505e+01, -1.47022e+01,
   121,   100, -5.12625e+01, -5.97784e+00,  9.53734e-03,  1.19543e-01, -1.03535e+01,  4.91636e+02,
   122,    54,  3.11853e+02,  8.08143e+00, -1.65466e+00, -1.11562e-01,  4.08533e+01, -1.26172e+02,
   122,    79, -3.11694e+02, -8.08143e+00,  1.65466e+00,  1.11562e-01, -7.61875e+00,  2.87637e+02,
   123,    79,  2.60938e+02,  3.80043e+00,  9.56004e-02,  1.62746e-03, -6.19620e+00,  2.12874e+02,
   123,    82, -2.60302e+02, -3.80043e+00, -9.56004e-02, -1.62746e-03, -1.17056e+00,  9.19339e+01,
   124,    82,  2.60302e+02,  3.80043e+00,  9.56004e-02,  1.62746e-03,  1.17056e+00, -9.19339e+01,
   124,    83, -2.59984e+02, -3.80043e+00, -9.56004e-02, -1.62746e-03, -4.85590e+00,  2.43263e+02,
   125,    83,  2.08830e+02,  4.42733e+00, -1.57803e-01, -8.46575e-04,  1.06423e+01,  2.67812e+02,
   125,    86, -2.08194e+02, -4.42733e+00,  1.57803e-01,  8.46575e-04,  2.45776e+00,  8.68383e+01,
   126,    86,  2.08194e+02,  4.42733e+00, -1.57803e-01, -8.46574e-04, -2.45776e+00, -8.68383e+01,
   126,    87, -2.07875e+02, -4.42733e+00,  1.57803e-01,  8.46574e-04,  9.00169e+00,  2.63586e+02,
   127,    87,  1.56693e+02,  4.25919e+00,  7.37762e-02, -3.50070e-03, -9.04032e+00,  2.59474e+02,
   127,    90, -1.56057e+02, -4.25919e+00, -7.37762e-02,  3.50070e-03,  3.24701e+00,  8.16474e+01,
   128,    90,  1.56057e+02,  4.25919e+00,  7.37762e-02, -3.50069e-03, -3.24701e+00, -8.16474e+01,
   128,    91, -1.55739e+02, -4.25919e+00, -7.37762e-02,  3.50069e-03,  2.83827e-01,  2.51820e+02,
   129,    91,  1.04493e+02,  4.58512e+00,  3.34350e-01, -1.96074e-02, -6.13926e+00,  2.80218e+02,
   129,    94, -1.03857e+02, -4.58512e+00, -3.34350e-01,  1.96074e-02, -2.06081e+01,  8.71939e+01,
   130,    94,  1.03857e+02,  4.58512e+00,  3.34350e-01, -1.96074e-02,  2.06081e+01, -8.71939e+01,
   130,    95, -1.03538e+02, -4.58512e+00, -3.34350e-01,  1.96074e-02, -3.38129e+01,  2.70628e+02,
   131,    95,  5.21630e+01,  6.41797e+00, -6.30225e-01,  1.08879e-02,  3.90150e+01,  2.70292e+02,
   131,    98, -5.15268e+01, -6.41797e+00,  6.30225e-01, -1.08879e-02,  1.18531e+01,  2.43183e+02,
   132,    98,  5.15268e+01,  6.41797e+00, -6.30225e-01,  1.08879e-02, -1.18531e+01, -2.43183e+02,
   132,    99, -5.12087e+01, -6.41797e+00,  6.30225e-01, -1.08879e-02,  3.72676e+01,  4.99105e+02,
   133,    57, -3.58479e-01, -5.18186e-03,  5.78614e+00, -4.74404e-01, -1.17852e+02, -3.75763e-01,
   133,    58,  3.58479e-01,  5.18186e-03,  6.89646e+00,  4.74404e-01,  1.84477e+02, -2.45819e-01,
   134,    61,  3.73086e+00,  1.50089e-03,  6.87846e+00,  1.20921e-01, -1.85289e+02, -7.82274e-02,
   134,    62, -3.73086e+00, -1.50089e-03,  5.80413e+00, -1.20921e-01,  1.20668e+02,  2.57763e-01,
   135,    65,  5.38096e+00,  1.54627e-03,  7.88354e+00, -1.95126e-02, -2.45452e+02, -5.72729e-02,
   135,    66, -5.38096e+00, -1.54627e-03,  4.79905e+00,  1.95126e-02,  6.00341e+01,  2.42385e-01,
   136,    69,  4.87364e+00, -1.78452e-03,  8.54969e+00,  7.80364e-02, -2.86639e+02, -9.19108e-02,
   136,    70, -4.87364e+00,  1.78452e-03,  4.13291e+00, -7.80364e-02,  2.12382e+01, -1.22479e-01,
   137,    73,  1.01201e+01,  8.41757e-03,  9.45896e+00, -2.84066e-01, -3.34300e+02,  8.15053e-01,
   137,    74, -1.01201e+01, -8.41757e-03,  3.22364e+00,  2.84066e-01, -4.07437e+01,  2.12820e-01,
   138,    77,  3.37649e+00,  1.07243e-02,  7.17822e+00,  1.49029e+00, -2.35028e+02, -7.55756e-01,
   138,    78, -3.37649e+00, -1.07243e-02,  5.50438e+00, -1.49029e+00,  1.34271e+02,  2.03385e+00,
   139,    59, -1.00107e-01, -1.74080e-02,  7.46750e+00, -2.06038e-02, -2.26189e+02, -5.41941e-01,
   139,    60,  1.00107e-01,  1.74080e-02,  5.21510e+00,  2.06038e-02,  9.10435e+01, -1.54708e+00,
   140,    63, -5.94006e-01, -9.34460e-03,  6.65684e+00, -1.92727e-02, -1.70651e+02,  4.86290e-02,
   140,    64,  5.94006e-01,  9.34460e-03,  6.02575e+00,  1.92727e-02,  1.32770e+02, -1.17088e+00,
   141,    67, -5.70899e-01, -1.93934e-03,  6.14607e+00, -1.54726e-02, -1.43084e+02,  5.35070e-01,
   141,    68,  5.70899e-01,  1.93934e-03,  6.53653e+00,  1.54726e-02,  1.66492e+02, -7.68877e-01,
   142,    71,  1.07143e+00, -4.89134e-03,  6.08434e+00, -8.04863e-03, -1.30968e+02,  4.59653e-01,
   142,    72, -1.07143e+00,  4.89134e-03,  6.59826e+00,  8.04863e-03,  1.61848e+02, -1.04462e+00,
   143,    75,  7.96183e-01,  2.05394e-03,  8.28172e+00, -3.90803e-02, -2.99918e+02,  8.87855e-01,
   143,    76, -7.96183e-01, -2.05394e-03,  4.40088e+00,  3.90803e-02,  6.71033e+01, -6.39892e-01,
   144,    55,  1.07238e-02,      0.0,   1.90601e+01, -1.12074e-01, -1.14685e+03,  7.29414e-02,
   144,    79,  1.03042e-01,      0.0,   1.90432e+01,  1.12074e-01,  1.14381e+03, -5.49188e-02,
   145,    79,  2.58482e-01, -2.83049e-03,  1.91575e+01, -1.01828e-02, -1.15765e+03, -5.34813e-01,
   145,    80, -1.44716e-01,  2.83049e-03,  1.91569e+01,  1.01828e-02,  1.15754e+03, -4.91496e-01,
   146,    80,  1.48341e+00, -1.91889e-03,  1.91970e+01, -2.08669e-02, -1.16144e+03, -2.25274e-01,
   146,    58, -1.36964e+00,  1.91889e-03,  1.89063e+01,  2.08669e-02,  1.10904e+03, -4.65601e-01,
   147,    59, -2.32747e+00, -7.44312e-03,  1.88811e+01,  1.83913e-02, -1.10232e+03, -1.63104e+00,
   147,    83,  2.44124e+00,  7.44312e-03,  1.92222e+01, -1.83913e-02,  1.16387e+03, -1.05616e+00,
   148,    83, -7.64735e-02, -6.56071e-03,  1.91598e+01,  2.98218e-03, -1.15809e+03, -1.24790e+00,
   148,    84,  1.90239e-01,  6.56071e-03,  1.91546e+01, -2.98218e-03,  1.15714e+03, -1.13059e+00,
   149,    84,  2.04607e+00, -4.15524e-03,  1.92010e+01,  7.99217e-03, -1.16059e+03, -6.29255e-01,
