" Frame3DD version: 20140514               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2014, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example H: a pedestrian ramp (units: kip  in)               "
" Wed May 14 16:02:05 2014
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions 
 First Row , 1 , 17 , 167 , 759  
 Last Row , 1 , 164 , 756 , 906  

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
    55,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    56,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    57,    0.0,        0.0,        0.0,     -4.67345e-04,  4.55931e-05,  4.34451e-06,
    58,  7.37990e-05,  6.72664e-04, -1.63671e-02, -2.22281e-04,  3.96979e-04,  5.28252e-06,
    59,  3.57765e-04, -1.28480e-03, -2.89664e-02, -2.80616e-04, -5.25822e-04, -4.55039e-06,
    60,  3.78374e-04, -1.94678e-03, -1.40711e-02, -2.69972e-04, -6.68387e-05, -1.18064e-05,
    61,    0.0,        0.0,        0.0,     -1.72073e-04,  9.01848e-05,  2.91423e-07,
    62, -7.68062e-04,  1.53125e-04, -4.33718e-02, -2.34538e-04,  4.67978e-04,  2.71824e-06,
    63, -4.26496e-03, -1.27301e-03, -5.20931e-02, -2.20657e-04, -4.50360e-04, -9.67753e-06,
    64, -4.14268e-03, -2.79090e-03, -2.53974e-02, -2.10702e-04, -9.11029e-05, -1.84804e-05,
    65,    0.0,        0.0,        0.0,     -2.46948e-04,  1.16197e-04, -1.63928e-07,
    66, -1.10776e-03,  8.19146e-05, -6.47683e-02, -2.36868e-04,  4.90682e-04,  2.00098e-06,
    67, -4.69206e-03, -2.48852e-03, -6.94580e-02, -2.38553e-04, -4.68735e-04, -1.14656e-05,
    68, -4.57453e-03, -4.39339e-03, -3.38518e-02, -2.30560e-04, -6.50512e-05, -2.08780e-05,
    69,    0.0,        0.0,        0.0,     -2.05684e-04,  1.38513e-04,  2.59614e-07,
    70, -1.00332e-03,  5.06896e-05, -8.07115e-02, -2.45995e-04,  5.30238e-04,  3.87857e-08,
    71, -5.53238e-03, -5.20530e-03, -8.11268e-02, -1.61017e-04, -4.50113e-04, -1.07863e-05,
    72, -5.75295e-03, -7.06187e-03, -3.93577e-02, -1.56859e-04, -1.67340e-04, -2.16474e-05,
    73,    0.0,        0.0,        0.0,     -3.15069e-04,  1.38554e-04, -1.11414e-05,
    74, -2.08339e-03, -1.75541e-03, -9.12978e-02, -1.68329e-04,  4.27044e-04, -1.54953e-05,
    75, -2.60604e-02, -1.47259e-03, -8.71085e-02, -6.40953e-04, -1.08265e-03, -9.76438e-06,
    76, -2.62243e-02, -3.34404e-03, -4.18997e-02, -6.20765e-04, -2.64147e-04, -2.07945e-05,
    77,    0.0,        0.0,        0.0,      1.28985e-04,  2.59364e-04,  1.33290e-05,
    78, -6.95110e-04,  2.61292e-03, -9.66469e-02, -6.40858e-04,  1.09462e-03,  3.34770e-05,
    79, -4.53698e-04,  5.23585e-04, -7.65183e-03, -1.73837e-04, -2.03651e-05,  6.88017e-06,
    80, -7.51597e-04, -2.30067e-05, -1.53168e-02, -1.89653e-04, -2.10882e-05,  8.70044e-06,
    81, -1.43000e-03,  7.78562e-04, -2.81164e-02,  5.72270e-05, -1.47327e-05,  8.65877e-06,
    82, -1.53293e-03, -2.44319e-03, -3.32373e-02,  3.04889e-05, -1.18733e-05,  6.47870e-06,
    83, -2.06604e-03,  2.01332e-04, -4.60066e-02, -2.51425e-04, -1.69424e-05,  6.27796e-06,
    84, -2.57244e-03, -6.61311e-04, -5.36688e-02, -2.46636e-04, -1.84964e-05,  8.57543e-06,
    85, -3.33586e-03,  1.18186e-03, -6.39115e-02,  5.15044e-05, -1.87239e-05,  8.11571e-06,
    86, -4.34787e-03, -2.02203e-03, -6.64765e-02,  5.39692e-05, -3.07556e-05,  6.48680e-06,
    87, -5.46209e-03, -3.60262e-04, -7.66880e-02, -2.40665e-04, -2.11194e-05,  6.59122e-06,
    88, -4.61813e-03, -1.27819e-03, -8.43502e-02, -2.41589e-04, -1.10545e-05,  7.19626e-06,
    89, -4.87851e-03,  4.75726e-04, -9.20329e-02,  5.61538e-05, -3.98399e-06,  5.81003e-06,
    90, -6.15779e-03, -2.83004e-03, -9.20396e-02,  5.90669e-05, -4.06222e-07,  7.45479e-06,
    91, -6.07994e-03, -1.58181e-03, -9.96920e-02, -2.21229e-04,  2.56198e-06,  7.88657e-06,
    92, -5.13191e-03, -3.64244e-03, -1.07351e-01, -1.91944e-04, -7.29568e-06,  3.03757e-06,
    93, -5.47728e-03, -4.80929e-03, -1.12470e-01,  1.32448e-04, -1.02666e-05,  2.65617e-06,
    94, -6.08631e-03, -7.36415e-03, -1.09919e-01,  1.03738e-04, -2.18001e-05,  1.27234e-05,
    95, -7.71821e-03, -7.65052e-03, -1.15009e-01, -1.96941e-04, -6.75357e-05,  1.51419e-05,
    96, -6.60757e-03, -1.22378e-02, -1.22660e-01, -2.33882e-04, -1.86732e-05,  1.89338e-06,
    97, -7.74853e-03, -9.20443e-03, -1.25215e-01, -5.78462e-05, -3.81161e-05,  1.66381e-05,
    98, -1.63994e-02, -8.36500e-03, -1.20099e-01, -1.51356e-04, -1.13216e-04,  1.24560e-05,
    99, -2.04006e-02,  7.16037e-03, -1.22620e-01, -7.74918e-04, -7.19472e-05,  1.11130e-05,
   100, -1.22863e-02,  1.58770e-02, -1.30279e-01, -9.09289e-04, -7.46173e-05,  4.61275e-05,
   101,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
   102,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
   103,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
   104,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
   105,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
   106,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
   107,    0.0,        0.0,        0.0,      2.08028e-04,  4.32225e-05, -5.63266e-06,
   108,  1.48030e-03, -5.78324e-04, -1.50153e-02,  2.19834e-04,  4.15302e-04, -1.03344e-07,
   109,  8.95433e-03,  5.09919e-04, -2.87988e-02,  2.92267e-04, -4.67001e-04, -1.23810e-06,
   110,  8.83471e-03, -1.71069e-04, -1.41078e-02,  2.96737e-04, -5.66864e-06, -7.82129e-06,
   111,    0.0,        0.0,        0.0,      2.36308e-04,  8.55849e-05,  6.76709e-07,
   112,  1.31385e-03,  2.18742e-04, -3.93210e-02,  2.34409e-04,  4.63921e-04,  3.19236e-06,
   113,  9.00485e-03, -1.47463e-03, -5.17684e-02,  2.39512e-04, -4.34360e-04, -9.30405e-06,
   114,  9.10666e-03, -3.01844e-03, -2.54178e-02,  2.39775e-04, -7.61460e-05, -1.71969e-05,
   115,    0.0,        0.0,        0.0,      2.22384e-04,  1.04268e-04,  8.81188e-07,
   116,  1.38964e-03,  1.80180e-04, -5.80202e-02,  2.40710e-04,  4.89665e-04,  1.69403e-06,
   117,  9.06437e-03, -2.80061e-03, -6.89830e-02,  2.59130e-04, -4.66783e-04, -1.12935e-05,
   118,  9.18891e-03, -4.71447e-03, -3.38474e-02,  2.53458e-04, -6.53692e-05, -2.09491e-05,
   119,    0.0,        0.0,        0.0,      2.50448e-04,  1.39231e-04, -2.54301e-06,
   120,  9.34447e-04, -2.96140e-04, -7.12329e-02,  2.52676e-04,  4.73224e-04, -9.57530e-07,
   121,  7.93482e-03, -2.51511e-03, -8.04954e-02,  1.78694e-04, -4.52213e-04, -1.21568e-05,
   122,  7.70112e-03, -4.46995e-03, -3.93342e-02,  1.72733e-04, -1.71330e-04, -1.96612e-05,
   123,    0.0,        0.0,        0.0,      1.40927e-04,  7.54758e-05,  9.46019e-06,
   124,  2.54400e-04,  9.10366e-04, -7.90385e-02,  1.74405e-04,  6.39215e-04, -2.73703e-06,
   125, -1.35039e-02, -8.20130e-03, -8.62960e-02,  6.55010e-04, -1.08219e-03, -4.16724e-06,
   126, -1.36578e-02, -9.84802e-03, -4.18669e-02,  6.32164e-04, -2.68200e-04, -2.06199e-05,
   127,    0.0,        0.0,        0.0,      5.97895e-04,  3.84602e-04, -2.83030e-05,
   128,  9.35065e-04, -4.12753e-03, -8.13659e-02,  6.54878e-04, -1.15712e-04, -2.95372e-05,
   129,  6.16631e-04,  1.18901e-03, -6.39873e-03, -6.55556e-05,  4.65628e-05,  2.62130e-06,
   130,  1.85921e-03,  2.33885e-03, -1.27850e-02, -1.70569e-05,  6.46796e-05,  6.99677e-06,
   131,  4.68122e-03, -3.65644e-04, -2.55544e-02,  2.51398e-04,  4.79939e-05,  1.39935e-05,
   132,  7.29914e-03,  1.16607e-03, -3.19546e-02,  2.67637e-04,  6.24209e-05,  1.31065e-05,
   133,  8.77698e-03, -1.46085e-03, -4.22041e-02, -3.35610e-05,  1.89743e-05,  1.12817e-05,
   134,  6.11533e-03,  1.29766e-03, -4.60419e-02, -4.40801e-05,  2.78472e-07,  1.04387e-05,
   135,  5.98893e-03, -7.46062e-04, -5.62622e-02,  2.48160e-04, -1.39354e-06,  8.66125e-06,
   136,  8.69321e-03, -1.34118e-04, -6.26564e-02,  2.51453e-04, -2.35008e-06,  7.63206e-06,
   137,  8.63538e-03, -2.34696e-03, -7.03466e-02, -3.77885e-05,  1.53681e-07,  7.83046e-06,
   138,  6.12348e-03,  5.77503e-04, -7.16292e-02, -2.93100e-05,  3.09914e-06,  7.53736e-06,
   139,  6.24722e-03, -2.31543e-03, -7.92892e-02,  2.77141e-04,  2.40154e-06,  6.97542e-06,
   140,  9.01761e-03, -1.67330e-03, -8.56803e-02,  2.72269e-04,  1.10377e-05,  8.22726e-06,
   141,  9.46243e-03, -4.61378e-03, -9.08074e-02, -3.01599e-05,  4.48316e-06,  7.95577e-06,
   142,  6.03666e-03, -2.24528e-03, -8.95297e-02, -4.83219e-05, -1.22467e-05,  6.54182e-06,
   143,  5.27664e-03, -3.31757e-03, -9.46265e-02,  1.96615e-04, -2.75974e-05,  6.32502e-06,
   144,  7.64456e-03, -1.51707e-03, -1.01015e-01,  1.84807e-04, -6.60840e-05,  7.41279e-06,
   145,  3.54036e-03,  2.21386e-04, -1.03580e-01, -1.09313e-04, -1.20695e-04,  1.82662e-05,
   146,  9.67778e-04,  1.60900e-03, -9.97330e-02,  7.69998e-05, -6.58132e-05,  1.41299e-05,
   147, -1.65830e-03, -1.10332e-02, -1.02263e-01,  7.17720e-04, -5.95959e-05,  1.80323e-05,
   148, -5.93380e-03, -7.56824e-03, -1.08664e-01,  6.98831e-04, -7.12668e-05,  3.99730e-05,
"F R A M E   E L E M E N T   E N D   F O R C E S  (local)"
Elmnt , Node  ,    Nx     ,    Vy   ,     Vz   ,     Txx   ,    Myy  ,     Mzz
     1,     1,  2.38568e-01, -6.56455e+00, -9.54710e-01, -7.51754e-03,  1.44538e+01, -9.93797e+01,
     1,     7,  2.38568e-01,  6.56455e+00,  9.54710e-01,  7.51754e-03,  4.28288e+01, -2.94493e+02,
     2,     7,  4.77137e-01, -1.67369e+00, -1.28708e+00, -1.71579e-03,  6.25426e+01, -1.60436e+02,
     2,    11,  4.77137e-01,  1.67369e+00,  1.28708e+00,  1.71579e-03,  9.19066e+01, -4.04066e+01,
     3,    11,  4.77137e-01,  3.27659e-01, -2.31638e+00, -2.05922e-04,  1.30577e+02,  3.47830e+01,
     3,    15,  4.77137e-01, -3.27659e-01,  2.31638e+00,  2.05922e-04,  1.47388e+02,  4.53610e+00,
     4,    15,  4.77137e-01,  1.35724e-01, -3.11015e+00,  2.28023e-03,  1.77210e+02, -2.67478e+00,
     4,    19,  4.77137e-01, -1.35724e-01,  3.11015e+00, -2.28023e-03,  1.96008e+02,  1.89617e+01,
     5,    19,  4.77137e-01, -9.61630e-01, -3.18500e+00,  4.18621e-04,  1.98820e+02, -2.22653e+01,
     5,    23,  4.77137e-01,  9.61630e-01,  3.18500e+00, -4.18621e-04,  1.83380e+02, -9.31303e+01,
     6,    23,  4.77137e-01,  4.36554e+00, -5.52093e+00,  2.01546e-02,  2.71140e+02,  1.07008e+02,
     6,    27,  4.77137e-01, -4.36554e+00,  5.52093e+00, -2.01546e-02,  3.91372e+02,  4.16856e+02,
     7,     2,  3.87155e+02, -2.01400e-02, -2.11746e+01,  1.61220e-02,  3.07845e+02, -8.81133e-01,
     7,     8, -3.86678e+02,  2.01400e-02,  2.11746e+01, -1.61220e-02,  9.62219e+02, -3.44037e-01,
     8,     8,  3.16516e+02, -1.55546e-02, -1.57797e+01, -2.82164e-03,  9.23244e+02, -7.93961e-01,
     8,    12, -3.15562e+02,  1.55546e-02,  1.57797e+01,  2.82164e-03,  9.70531e+02, -1.11692e+00,
     9,    12,  2.47066e+02, -1.62412e-02, -1.71742e+01,  4.29618e-03,  1.02224e+03, -4.88710e-01,
     9,    16, -2.46112e+02,  1.62412e-02,  1.71742e+01, -4.29618e-03,  1.03873e+03, -1.44675e+00,
    10,    16,  1.79351e+02, -2.15860e-02, -1.77422e+01,  8.26499e-03,  1.05941e+03, -9.85493e-01,
    10,    20, -1.78396e+02,  2.15860e-02,  1.77422e+01, -8.26499e-03,  1.06965e+03, -1.55932e+00,
    11,    20,  1.12805e+02, -2.88440e-02, -1.85388e+01,  2.04891e-02,  1.10524e+03, -1.68522e+00,
    11,    24, -1.11850e+02,  2.88440e-02,  1.85388e+01, -2.04891e-02,  1.11959e+03, -1.74227e+00,
    12,    24,  4.68952e+01, -5.70796e-02, -1.85983e+01, -5.10456e-02,  1.10784e+03, -2.71311e+00,
    12,    28, -4.59409e+01,  5.70796e-02,  1.85983e+01,  5.10456e-02,  1.12384e+03, -4.12111e+00,
    13,     5,  3.53400e+02,  6.50777e-03,  1.00203e+01,  2.28132e-02, -4.02890e+02,  1.53820e+00,
    13,     9, -3.52446e+02, -6.50777e-03, -1.00203e+01, -2.28132e-02, -8.01975e+02, -6.21615e-01,
    14,     9,  2.81574e+02,  1.42735e-02,  1.64721e+01,  1.42923e-02, -1.01052e+03,  1.67743e+00,
    14,    13, -2.80620e+02, -1.42735e-02, -1.64721e+01, -1.42923e-02, -9.65029e+02,  3.12784e-01,
    15,    13,  2.11039e+02,  1.85639e-02,  1.64064e+01,  4.87811e-03, -9.73260e+02,  1.39788e+00,
    15,    17, -2.10084e+02, -1.85639e-02, -1.64064e+01, -4.87811e-03, -9.95337e+02,  1.09731e+00,
    16,    17,  1.41236e+02,  1.45787e-02,  1.61577e+01, -4.85582e-03, -9.89218e+02,  7.42283e-01,
    16,    21, -1.40282e+02, -1.45787e-02, -1.61577e+01,  4.85582e-03, -9.49717e+02,  1.17852e+00,
