" Frame3DD version: 20140514               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2014, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example C: a tetrahedral frame - static and dynamic analysis (in  kip)               "
" Wed May 14 16:02:04 2014
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions 
 First Row , 1 , 17 , 37 , 135  
 Last Row , 1 , 34 , 132 , 152  

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,      8.47560e-05, -2.15613e-03, -3.32886e-03,
     2,  1.69814e-01, -9.03575e-02, -4.80386e-02, -1.39891e-03,  6.05967e-04, -4.78749e-03,
     3,    0.0,        0.0,        0.0,     -8.93343e-04, -6.74001e-04, -2.60330e-03,
     4, -6.55602e-02, -5.20455e-01,  2.01804e-01, -3.17409e-03, -7.92984e-04, -2.71843e-03,
     5,  9.65868e-02, -5.55047e-01, -1.12012e-01, -3.41652e-03,  1.12436e-04, -2.26225e-03,
     6, -2.83458e-03, -2.26480e-01,  5.42658e-02, -2.67648e-03, -3.06859e-04, -2.04857e-03,
     7, -2.56412e-02, -6.67426e-01,  2.30687e-01, -3.06363e-03, -2.25109e-04, -6.34703e-04,
     8,  2.28603e-02, -6.66263e-01, -7.27391e-02, -3.10489e-03, -1.88366e-04, -6.09562e-04,
    15,     6,  1.97728e+01,  2.14461e-01,  2.80661e-01,  1.40553e+00, -7.54229e+00, -6.79434e+01,
    15,     9, -1.97728e+01, -2.14461e-01,  2.85802e-01, -1.40553e+00,  8.30093e+00,  9.21458e+01,
    16,     4, -1.84615e+01, -1.36849e-01,  5.27636e-01, -6.65880e+00, -3.82863e+01, -5.59764e+01,
    16,     9,  1.87448e+01,  1.36849e-01, -2.10974e-01,  6.65880e+00, -1.39002e+01,  3.75276e+01,
    17,     5,  7.57905e+00, -9.85054e-02, -2.54086e-01, -5.74344e+00,  2.89828e+01, -3.88369e+01,
    17,     9, -7.29582e+00,  9.85054e-02,  5.70748e-01,  5.74344e+00,  3.48176e+01,  2.31447e+01,
    18,     4,  1.66422e+02, -1.83231e+00,  1.90708e-01, -1.93722e+00, -2.44691e+01, -1.98135e+02,
    18,     8, -1.66422e+02,  1.83231e+00,  6.10390e-01,  1.93722e+00,  8.45508e+00, -3.34285e+01,
    19,     7, -3.37318e+00, -8.85660e-01, -1.38100e-02, -2.11270e-01,  4.72482e+00, -4.58236e+01,
    19,     8,  3.37318e+00,  8.85660e-01,  2.97041e-01,  2.11270e-01,  1.18413e+01, -4.29060e+01,
    20,     8, -4.91470e+00, -1.02173e+00,  5.64943e-02,  2.35772e-01, -6.15148e+00, -5.55657e+01,
    20,     9,  5.19793e+00,  1.02173e+00,  8.51213e-02, -2.35772e-01,  6.04874e+00, -5.88145e+01,
    21,     7,  1.58762e+00,  3.73733e-01,  2.02273e-01,  7.00228e-02, -2.54985e+00,  2.29549e+01,
    21,     9, -1.02116e+00, -3.73733e-01,  8.09579e-02, -7.00228e-02, -4.67182e+00,  1.88550e+01,
    22,     7, -1.16277e+02,  1.67160e+00, -9.37549e-01,  1.53760e+00,  3.80433e+01, -2.02395e+01,
    22,    10,  1.16277e+02, -1.67160e+00,  1.22078e+00, -1.53760e+00,  6.58730e+01,  1.87256e+02,
    23,     8,  3.25929e+02,  5.95099e+01,  4.54777e-01,  1.98629e+00, -1.71930e+01,  1.04076e+03,
    23,    11, -3.25929e+02,  5.04901e+01, -1.71546e-01, -1.98629e+00, -1.12407e+01, -5.77799e+02,
    24,     9, -4.16247e-01, -5.90736e-01, -5.27239e-01,  9.51549e-01,  2.73329e+01, -1.04718e+02,
    24,    12,  4.16247e-01,  5.90736e-01,  1.09370e+00, -9.51549e-01,  5.37018e+01,  4.56480e+01,
    25,     9,  1.70884e+01,  1.38883e-01, -1.03554e-01,  6.07577e+00,  1.51720e+01, -2.51216e+01,
    25,    10, -1.73716e+01, -1.38883e-01,  4.20217e-01, -6.07577e+00,  2.82605e+01,  5.04608e+01,
    26,     8,  8.71241e+00,  1.03835e+00,  4.64709e-02,  1.65297e+00,  5.85693e+00,  2.50947e+00,
    26,    10, -8.71241e+00, -1.03835e+00,  3.54079e-01, -1.65297e+00,  1.88375e+01,  1.44402e+02,
    27,     8,  2.61933e+00,  2.76783e-01,  9.90903e-03, -2.85585e+00,  1.03067e+01, -1.81419e+01,
    27,    12, -2.05287e+00, -2.76783e-01,  6.23415e-01,  2.85585e+00,  3.62781e+01,  5.90465e+01,
    28,    10,  9.95614e+01,  1.32291e+00, -5.18183e-01,  1.87091e+00,  1.08918e+01,  4.90627e+01,
    28,    11, -9.95614e+01, -1.32291e+00,  8.01414e-01, -1.87091e+00,  2.23339e+01,  7.28751e+01,
    29,    11, -1.98670e+00, -1.75736e+00, -4.17922e-01,  3.82603e+00,  1.61440e+01, -9.39858e+01,
    29,    12,  2.26993e+00,  1.75736e+00,  5.59537e-01, -3.82603e+00,  3.76768e+01, -1.02316e+02,
