" Frame3DD version: 20140514               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2014, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example G: a building with a set-back (units: in  kip)               "
" Wed May 14 16:02:05 2014
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions 
 First Row , 1 , 17 , 34 , 84  
 Last Row , 1 , 31 , 81 , 98  

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     2,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     3,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     4,  6.65878e-04,  5.08264e-01, -2.25796e-02, -1.05503e-02,  1.34473e-03,  1.66368e-05,
    18,     9,  8.57593e+00, -9.83950e-02,  3.36582e+02, -1.34609e+02, -1.40930e+04, -8.55348e+00,
    18,     7, -8.57593e+00,  9.83950e-02, -4.49283e+01,  1.34609e+02, -9.19075e+03, -3.46733e+00,
    19,    10, -1.13216e+01,      0.0,   2.38932e+02,      0.0,  -8.33042e+03, -1.57170e+00,
    19,    11,  1.13216e+01,      0.0,   2.38932e+02,      0.0,   8.33042e+03,  1.57170e+00,
    20,    11,  3.08486e+00, -9.91610e-02, -9.48111e+01,  2.36966e+02,  1.21908e+04, -4.76767e+00,
    20,    12, -3.08486e+00,  9.91610e-02,  3.86465e+02, -2.36966e+02,  1.71823e+04, -7.33915e+00,
    21,    12,  3.08486e+00,  9.91610e-02,  3.86465e+02, -2.36966e+02, -1.71823e+04,  7.33915e+00,
    21,    10, -3.08486e+00, -9.91610e-02, -9.48111e+01,  2.36966e+02, -1.21908e+04,  4.76767e+00,
    22,    13,  6.54947e+01,      0.0,   2.38932e+02,      0.0,  -7.73610e+03,  2.33056e+01,
    22,    14, -6.54947e+01,      0.0,   2.38932e+02,      0.0,   7.73610e+03, -2.33056e+01,
    23,    14, -8.30410e+01,  7.44936e-01, -3.33931e+01,  3.99573e+02,  9.62570e+03,  2.57888e+01,
    23,    15,  8.30410e+01, -7.44936e-01,  3.25047e+02, -3.99573e+02,  1.22661e+04,  6.44006e+01,
    24,    15, -8.30410e+01, -7.44936e-01,  3.25047e+02, -3.99573e+02, -1.22661e+04, -6.44006e+01,
    24,    13,  8.30410e+01,  7.44936e-01, -3.33931e+01,  3.99573e+02, -9.62570e+03, -2.57888e+01,
"R E A C T I O N S  (global)"
 Node   ,    Fx      ,   Fy   ,      Fz   ,     Mxx    ,    Myy    ,    Mzz
     1,  3.99139e+01, -4.66787e+01,  9.42044e+02,  4.94810e+03,  1.01748e+03, -1.21948e+00,
     2, -3.99139e+01, -4.66787e+01,  9.42044e+02,  4.94810e+03, -1.01748e+03,  1.21948e+00,
     3,       0.0,  -1.06643e+02,  2.40394e+03,  6.50240e+03,       0.0,        0.0, 
     4,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     5,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     6,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     7,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     8,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     9,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    10,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    11,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    12,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    13,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    14,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    15,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
"R M S    R E L A T I V E    E Q U I L I B R I U M    E R R O R:", 7.160e-08
