    18,    36, -1.05412e+04,  1.06541e+02,  7.79125e+01,  1.64726e+01,  6.41798e+04, -8.31412e+04,
    19,     1, -1.80269e+01,      0.0,   2.94873e+02, -1.17875e+03, -1.30076e+04,      0.0, 
    19,     2,  1.80269e+01,      0.0,  -2.46742e+01,  1.17875e+03, -1.09584e+04,      0.0, 
    20,     2, -4.30568e+01,      0.0,   1.05603e+03, -3.66952e+00,  6.06887e+03,      0.0, 
    20,     3,  4.30568e+01,      0.0,   1.10556e+03,  3.66952e+00,  5.33761e+04,      0.0, 
    21,     3, -6.78548e+01,      0.0,   6.37569e+01,  1.23715e+03, -3.20798e+04,      0.0, 
    21,     4,  6.78548e+01,      0.0,   2.06442e+02, -1.23715e+03,  4.27811e+04,      0.0, 
    22,     5, -4.55271e+01,      0.0,   1.33996e+03,  1.82564e+01, -1.80589e+04,      0.0, 
    22,     6,  4.55271e+01,      0.0,   1.10378e+01, -1.82564e+01, -8.78960e+05,      0.0, 
    23,     6, -4.55271e+01,      0.0,  -1.10378e+01,  1.82564e+01,  8.78960e+05,      0.0, 
    23,     7,  4.55271e+01,      0.0,   1.36203e+03, -1.82564e+01,  4.78608e+04,      0.0, 
    24,     8, -1.80450e+01,      0.0,   2.87177e+02,  1.17782e+03, -1.31782e+04,      0.0, 
    24,     9,  1.80450e+01,      0.0,  -1.69785e+01, -1.17782e+03, -9.63347e+03,      0.0, 
    25,     9, -4.30268e+01,      0.0,   1.06592e+03,  5.97204e-03,  4.54607e+03,      0.0, 
    25,    10,  4.30268e+01,      0.0,   1.09567e+03, -5.97204e-03,  3.11634e+04,      0.0, 
    26,    10, -6.82171e+01,      0.0,  -7.35407e+01, -1.17758e+03, -1.17802e+04,      0.0, 
    26,    11,  6.82171e+01,      0.0,   3.43739e+02,  1.17758e+03,  4.30761e+04,      0.0, 
    27,     1,      0.0,    8.19528e+00,  6.99288e+02, -2.71275e+02, -3.22995e+04,  6.96599e+03,
    27,     5,      0.0,   -8.19528e+00,  1.10204e+03,  2.71275e+02,  3.74636e+05,  6.96599e+03,
    28,     5,      0.0,   -8.32474e+00,  1.10206e+03,  2.64097e+02, -3.74637e+05, -7.07603e+03,
    28,     8,      0.0,    8.32474e+00,  6.99269e+02, -2.64097e+02,  3.22689e+04, -7.07603e+03,
    29,     4,      0.0,    8.27983e+00,  6.99326e+02,  2.84610e+02, -3.23504e+04,  7.03785e+03,
    29,     7,      0.0,   -8.27983e+00,  1.10200e+03, -2.84610e+02,  3.74622e+05,  7.03785e+03,
    30,     7,      0.0,   -8.40947e+00,  1.10201e+03, -2.68321e+02, -3.74622e+05, -7.14805e+03,
    30,    11,      0.0,    8.40947e+00,  6.99310e+02,  2.68321e+02,  3.23229e+04, -7.14805e+03,
    31,    16, -2.72846e+01, -1.02542e-01,  4.32286e+02,  5.05975e-02, -7.38035e+04, -1.49506e+02,
    31,    17,  2.72846e+01,  1.02542e-01,  4.70685e+02, -5.05975e-02,  1.27562e+05, -1.37612e+02,
    32,    18, -2.06104e+01,  1.57908e-02,  4.31903e+02,  1.90255e+01, -7.00426e+04,  2.20272e+01,
    32,    19,  2.06104e+01, -1.57908e-02,  1.95829e+01, -1.90255e+01, -2.18580e+05,  8.00222e-02,
